age	CO2	lw95	lw68	up68	up95
2338	317.42	254.87	281.45	354.33	386.99
2347	317.56	251.60	278.59	357.27	394.85
2353	305.94	245.64	270.51	342.37	375.22
2362	449.90	356.76	394.86	505.48	559.15
2372	414.51	334.17	365.84	463.25	510.72
2381	371.26	297.95	328.19	416.10	455.70
2389	377.05	304.73	333.90	420.65	460.82
2411	277.50	223.36	245.43	309.82	339.19
2425	332.10	266.60	294.21	370.84	404.96
2451	320.23	258.33	283.06	357.95	392.06
2474	340.33	273.69	301.92	379.00	415.53
2500	356.63	287.70	316.31	397.93	436.79
2501	362.03	292.74	321.07	403.31	443.06
2522	245.97	198.10	217.59	275.37	302.24
2545	335.45	270.65	297.16	374.25	409.06
2562	299.51	240.70	264.66	334.58	366.34
2579	329.81	265.41	292.28	367.81	403.16
2595	361.67	291.22	319.33	404.72	443.57
2615	278.52	223.96	245.90	310.81	340.87
2624	304.93	246.02	270.02	339.73	374.96
2631	244.92	195.82	216.39	274.13	301.36
2648	281.85	226.42	249.12	314.87	345.89
2665	301.61	242.78	267.12	336.24	370.49
2673	262.67	209.30	232.02	293.84	323.05
2680	322.77	261.44	286.41	360.15	394.95
2687	283.78	227.95	250.98	317.01	348.24
2695	275.60	220.96	243.77	308.06	336.77
2700	234.41	183.33	204.58	265.03	293.03
2703	319.02	256.98	282.14	356.87	392.62
2707	262.14	209.69	231.23	293.67	322.67
2746	338.76	272.09	300.17	378.18	414.67
2751	320.97	258.16	283.38	359.57	396.15
2764	358.16	287.63	317.25	399.64	437.73
2777	279.08	223.63	246.77	312.15	342.17
2799	281.29	226.02	248.90	314.27	345.48
2830	317.12	254.46	280.69	354.54	389.14
2832	361.40	283.47	314.36	408.32	453.32
2839	387.68	313.77	342.98	433.14	474.95
2849	307.71	247.11	272.31	343.50	376.68
2858	444.89	355.48	392.18	498.02	548.81
2912	370.57	299.69	328.24	413.29	453.08
2924	377.17	304.31	334.28	420.28	461.41
2942	337.22	272.72	298.72	375.91	411.93
2950	357.80	287.41	316.78	399.85	439.54
2951	419.31	331.06	366.19	472.87	524.94
2960	345.53	278.99	306.60	385.11	420.62
2978	328.22	265.39	291.23	366.02	402.44
3003	368.96	297.43	326.98	411.61	453.04
3011	356.95	286.47	316.18	398.69	436.08
3028	380.92	306.52	337.60	425.19	466.89
3043	419.48	336.08	369.39	470.04	517.69
3050	418.02	337.95	370.57	466.76	512.13
3059	361.32	288.22	318.69	404.80	444.56
3063	413.10	331.26	365.10	462.41	507.75
3067	379.83	304.94	336.48	424.63	466.32
3091	334.20	270.28	296.47	373.52	408.25
3100	319.31	257.29	282.42	357.42	392.65
3114	391.55	315.36	346.75	437.70	479.49
3133	345.25	277.12	305.32	385.59	423.79
3143	333.87	267.82	294.63	373.06	412.92
3152	403.18	302.67	343.43	465.82	528.35
3158	339.65	271.75	301.09	379.30	416.09
3172	451.65	364.70	399.51	505.19	553.67
3180	381.07	308.74	337.30	424.46	466.73
3189	283.44	228.38	251.17	317.09	346.56
3199	330.90	267.38	293.56	369.86	404.95
3209	326.38	263.31	288.72	364.65	399.98
3225	375.85	302.69	332.60	419.64	461.06
3240	423.24	329.16	366.47	481.26	535.99
3243	354.46	284.42	313.69	395.90	433.77
3246	316.30	255.66	280.11	352.67	387.05
3260	347.83	277.00	306.56	390.12	429.15
3270	364.75	287.47	319.46	412.16	455.99
3281	313.37	251.21	277.57	350.13	383.11
